batch_id,sku,product_slug,product_name,category,source_file,source_type,target_file,target_type,source_width,source_height,source_size_bytes,target_width,target_height,target_format,existing_target,action,status,notes
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43283992258.webp,unknown,,,730,730,40270,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43289460571.webp,unknown,,,730,730,24446,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/main-original-01.webp,main,public/images/products/led-panel-suspension-kit/main.webp,main,730,730,40274,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-01.webp,detail,public/images/products/sign-hanging-cable-kit/detail-01.webp,detail,730,730,26780,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-02.webp,detail,public/images/products/sign-hanging-cable-kit/detail-02.webp,detail,730,730,25358,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-03.webp,detail,public/images/products/sign-hanging-cable-kit/detail-03.webp,detail,730,730,22508,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-04.webp,detail,public/images/products/sign-hanging-cable-kit/detail-04.webp,detail,730,730,26138,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/main-original-01.webp,main,public/images/products/sign-hanging-cable-kit/main.webp,main,730,730,26780,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/construction-original-01.webp,construction,public/images/products/bowden-cable-assembly/construction-01.webp,construction,730,730,20798,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/construction-original-02.webp,construction,public/images/products/bowden-cable-assembly/construction-02.webp,construction,730,730,21386,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
