batch_id,category,product_slug,product_name,source_path,source_filename,target_path,target_filename,detected_type,confidence,width,height,file_size_bytes,extension,contains_old_brand_filename,contains_contact_filename,action,status,notes
20260717072102-ir1o25,suspension-hanging-kits,led-panel-suspension-kit,LED Panel Suspension Kit,image-import/suspension-hanging-kits/led-panel-suspension-kit/,led-panel-light-hanging-suspension-kit43278991806.webp,image-import/suspension-hanging-kits/led-panel-suspension-kit/,review-original-02.webp,review,low,730,730,40274,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,suspension-hanging-kits,led-panel-suspension-kit,LED Panel Suspension Kit,image-import/suspension-hanging-kits/led-panel-suspension-kit/,led-panel-light-hanging-suspension-kit43283992258.webp,image-import/suspension-hanging-kits/led-panel-suspension-kit/,review-original-03.webp,review,low,730,730,40270,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,suspension-hanging-kits,led-panel-suspension-kit,LED Panel Suspension Kit,image-import/suspension-hanging-kits/led-panel-suspension-kit/,led-panel-light-hanging-suspension-kit43289460571.webp,image-import/suspension-hanging-kits/led-panel-suspension-kit/,review-original-04.webp,review,low,730,730,24446,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,suspension-hanging-kits,sign-hanging-cable-kit,Sign Hanging Cable Kit,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-01.webp,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-01.webp,detail,high,730,730,26780,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,suspension-hanging-kits,sign-hanging-cable-kit,Sign Hanging Cable Kit,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-02.webp,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-02.webp,detail,high,730,730,25358,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,suspension-hanging-kits,sign-hanging-cable-kit,Sign Hanging Cable Kit,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-03.webp,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-03.webp,detail,high,730,730,22508,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,suspension-hanging-kits,sign-hanging-cable-kit,Sign Hanging Cable Kit,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-04.webp,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,detail-original-04.webp,detail,high,730,730,26138,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-01.webp,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-01.webp,construction,high,730,730,20798,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-02.webp,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-02.webp,construction,high,730,730,21386,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-03.webp,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-03.webp,construction,high,730,730,11904,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-04.webp,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-04.webp,construction,high,730,730,21386,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-05.webp,image-import/control-brake-cables/bowden-cable-assembly/,construction-original-05.webp,construction,high,730,730,32280,.webp,false,false,keep,kept,Already uses the approved source-image naming pattern.
20260717072102-ir1o25,control-brake-cables,bowden-cable-assembly,Bowden Cable Assembly,image-import/control-brake-cables/bowden-cable-assembly/,gym-cable-coated-black-pvc26351933454.webp,image-import/control-brake-cables/bowden-cable-assembly/,review-original-01.webp,review,low,730,730,30624,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,push-pull-control-cable,Push Pull Control Cable,image-import/control-brake-cables/push-pull-control-cable/,push-pull-control-cable-assemblies28340444875.webp,image-import/control-brake-cables/push-pull-control-cable/,review-original-01.webp,review,low,730,730,23482,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,push-pull-control-cable,Push Pull Control Cable,image-import/control-brake-cables/push-pull-control-cable/,push-pull-control-cable-assemblies32008030633.webp,image-import/control-brake-cables/push-pull-control-cable/,review-original-02.webp,review,low,730,730,22994,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
20260717072102-ir1o25,control-brake-cables,push-pull-control-cable,Push Pull Control Cable,image-import/control-brake-cables/push-pull-control-cable/,push-pull-control-cable-assemblies32008968165.webp,image-import/control-brake-cables/push-pull-control-cable/,review-original-03.webp,review,low,730,730,18630,.webp,false,false,review,review,No reliable filename keyword; dimensions alone are insufficient to confirm visible content or a main image. Manual type review is required; this file will not be renamed automatically.
